92.253.212.157 - - [20/Sep/2023:07:02:15 +0000] "GET /admin/article/category/ HTTP/2.0" 200 2882 "https://aleflabs.org/admin/article/article/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
92.253.212.157 - - [20/Sep/2023:07:02:15 +0000] "GET /admin/jsi18n/ HTTP/2.0" 200 899 "https://aleflabs.org/admin/article/category/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
35.212.110.19 - - [20/Sep/2023:07:22:20 +0000] "GET / HTTP/1.1" 200 7720 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko; compatible; BW/1.1; bit.ly/3eZNDnO; e9165fb786) Chrome/84.0.4147.105 Safari/537.36" "-"
35.212.110.19 - - [20/Sep/2023:07:22:21 +0000] "GET /robots.txt HTTP/1.1" 404 158 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko; compatible; BW/1.1; bit.ly/3eZNDnO; e9165fb786) Chrome/84.0.4147.105 Safari/537.36" "-"
35.212.110.19 - - [20/Sep/2023:07:22:22 +0000] "" 400 0 "-" "-" "-"
167.94.146.56 - - [20/Sep/2023:07:29:44 +0000] "GET / HTTP/1.1" 200 7725 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)" "-"
54.88.179.33 - - [20/Sep/2023:08:08:32 +0000] "GET / HTTP/1.1" 200 38857 "-" "Mozilla/5.0 \x5C(Windows NT 10.0\x5C; Win64\x5C; x64\x5C) AppleWebKit/537.36 \x5C(KHTML, like Gecko\x5C) Chrome/100.0.4896.60 Safari/537.36" "-"
54.88.179.33 - - [20/Sep/2023:08:08:34 +0000] "GET / HTTP/1.1" 200 38857 "-" "Mozilla/5.0 \x5C(Windows NT 10.0\x5C; Win64\x5C; x64\x5C) AppleWebKit/537.36 \x5C(KHTML, like Gecko\x5C) Chrome/100.0.4896.60 Safari/537.36" "-"
35.171.144.152 - - [20/Sep/2023:08:08:35 +0000] "GET / HTTP/1.1" 200 38857 "-" "Mozilla/5.0 \x5C(Windows NT 10.0\x5C; Win64\x5C; x64\x5C) AppleWebKit/537.36 \x5C(KHTML, like Gecko\x5C) Chrome/100.0.4896.60 Safari/537.36" "-"
68.1.19.59 - - [20/Sep/2023:10:38:53 +0000] "GET / HTTP/1.1" 200 7720 "-" "python-requests/2.28.2" "-"
68.1.19.59 - - [20/Sep/2023:10:38:53 +0000] "GET /index_files/gateway_login_form_view.js.download HTTP/1.1" 404 158 "-" "python-requests/2.28.2" "-"
52.167.144.64 - - [20/Sep/2023:11:27:03 +0000] "GET /robots.txt HTTP/2.0" 404 147 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" "-"
52.167.144.163 - - [20/Sep/2023:11:27:09 +0000] "GET /article/all_articles/30290902/ HTTP/2.0" 200 12747 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" "-"
169.197.104.58 - - [20/Sep/2023:11:48:29 +0000] "GET / HTTP/1.1" 200 7716 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C)" "-"
167.248.133.124 - - [20/Sep/2023:13:00:02 +0000] "GET / HTTP/1.1" 200 7721 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)" "-"
203.2.64.59 - - [20/Sep/2023:13:19:34 +0000] "GET / HTTP/1.1" 200 7716 "http://62.72.27.110" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1" "-"
107.77.204.56 - - [20/Sep/2023:13:29:16 +0000] "GET /media/post_images/Screen_Recording_2023-07-26_at_12.17.18_AM.mov HTTP/2.0" 404 104 "https://aleflabs.org/discussions/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
107.77.204.56 - - [20/Sep/2023:13:29:16 +0000] "GET /media/post_images/Screen_Recording_2023-07-26_at_12.17.18_AM_a5bORwP.mov HTTP/2.0" 404 104 "https://aleflabs.org/discussions/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
107.77.204.56 - - [20/Sep/2023:13:29:16 +0000] "GET /media/post_images/Screen_Recording_2023-07-26_at_12.14.55_AM_lhtFTeU.mov HTTP/2.0" 404 104 "https://aleflabs.org/discussions/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
107.77.204.56 - - [20/Sep/2023:13:29:16 +0000] "GET /media/post_images/Screen_Recording_2023-07-26_at_12.14.55_AM.mov HTTP/2.0" 404 104 "https://aleflabs.org/discussions/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
107.77.204.56 - - [20/Sep/2023:13:29:16 +0000] "GET /discussions/ HTTP/2.0" 200 11115 "https://aleflabs.org/discussions/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
68.1.19.59 - - [20/Sep/2023:14:39:09 +0000] "GET / HTTP/1.1" 200 7720 "-" "python-requests/2.28.2" "-"
68.1.19.59 - - [20/Sep/2023:14:39:10 +0000] "GET /index_files/gateway_login_form_view.js.download HTTP/1.1" 404 158 "-" "python-requests/2.28.2" "-"
107.77.204.56 - - [20/Sep/2023:14:49:00 +0000] "GET / HTTP/2.0" 302 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
107.77.204.56 - - [20/Sep/2023:14:49:01 +0000] "GET /discussions/ HTTP/2.0" 200 11101 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
107.77.204.56 - - [20/Sep/2023:14:49:01 +0000] "GET /media/post_images/Screen_Recording_2023-07-26_at_12.17.18_AM_a5bORwP.mov HTTP/2.0" 404 104 "https://aleflabs.org/discussions/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
